boundary_utc,pre_rows,post_rows,pre_side,post_side,pre_first_offset_ms,pre_last_offset_ms,post_first_offset_ms,post_last_offset_ms,pre_volume,post_volume,pre_notional,post_notional,pre_vwap,post_vwap,balance_ratio,opposite_homogeneous_taker_sides,balanced_80,balanced_90,balanced_95,last_trade_before_boundary,first_trade_after_boundary
2026-06-15T00:05:00Z,1,1,sell,sell,-261,-261,37,37,19926,20186,6.256764,6.338404,0.000314,0.000314,0.987119786,false,false,false,false,true,true
2026-06-15T00:15:00Z,1,1,sell,sell,-260,-260,51,51,19558,21875,6.141212,6.86875,0.000314,0.000314,0.89408,false,false,false,false,true,true
2026-06-15T00:25:00Z,1,1,buy,buy,-260,-260,40,40,13462,20360,4.2284142,6.395076,0.0003141,0.0003141,0.6611984283,false,false,false,false,true,true
2026-06-15T00:45:00Z,1,1,sell,sell,-261,-261,37,37,20169,20249,6.333066,6.358186,0.000314,0.000314,0.9960491876,false,false,false,false,true,true
2026-06-15T00:50:00Z,1,1,sell,sell,-260,-260,39,39,20169,22663,6.3350829,7.1184483,0.0003141,0.0003141,0.8899527865,false,false,false,false,true,true
2026-06-15T00:55:00Z,1,1,sell,sell,-259,-259,38,38,22258,19813,6.989012,6.221282,0.000314,0.000314,0.8901518555,false,false,false,false,true,true
2026-06-15T01:05:00Z,1,1,sell,sell,-259,-259,39,39,20374,20546,6.397436,6.451444,0.000314,0.000314,0.9916285408,false,false,false,false,true,true
2026-06-15T01:15:00Z,1,1,sell,buy,-260,-260,39,39,18505,20262,5.8124205,6.3642942,0.0003141,0.0003141,0.913285954,true,true,true,false,true,true
2026-06-15T01:20:00Z,2,1,sell,sell,-261,-232,40,40,66370,19291,20.8424437,6.0593031,0.0003140341073,0.0003141,0.2907194179,false,false,false,false,true,true
2026-06-15T01:25:00Z,1,1,buy,buy,-260,-260,40,40,21418,17788,6.7338192,5.5925472,0.0003144,0.0003144,0.8305163881,false,false,false,false,true,true
2026-06-15T01:30:00Z,1,1,buy,sell,-259,-259,38,38,22624,21453,7.103936,6.736242,0.000314,0.000314,0.9482408062,true,true,true,false,true,true
2026-06-15T01:35:00Z,1,1,buy,buy,-253,-253,39,39,18268,21647,5.7288448,6.7884992,0.0003136,0.0003136,0.8439044671,false,false,false,false,true,true
2026-06-15T01:40:00Z,1,1,buy,sell,-259,-259,41,41,18263,18361,5.7071875,5.7433208,0.0003125,0.0003128,0.9937086398,true,true,true,true,true,true
2026-06-15T01:55:00Z,1,1,buy,sell,-258,-258,39,39,21946,22262,6.8383736,6.9368392,0.0003116,0.0003116,0.9858054083,true,true,true,true,true,true
2026-06-15T02:00:00Z,1,2,buy,buy+sell,-260,-260,37,38,17815,18517,5.5493725,5.777304,0.0003115,0.000312,0.9605470822,false,false,false,false,true,true
2026-06-15T02:05:00Z,1,1,sell,sell,-261,-261,38,38,17799,17588,5.5604076,5.4944912,0.0003124,0.0003124,0.9881454014,false,false,false,false,true,true
2026-06-15T02:10:00Z,1,1,sell,buy,-259,-259,39,39,22547,21099,7.0527016,6.5997672,0.0003128,0.0003128,0.9357785958,true,true,true,false,true,true
2026-06-15T02:15:00Z,1,1,buy,buy,-258,-258,39,39,18048,22292,5.630976,6.955104,0.000312,0.000312,0.8096178001,false,false,false,false,true,true
2026-06-15T02:20:00Z,1,1,sell,sell,-258,-258,40,40,20929,19786,6.5319409,6.1752106,0.0003121,0.0003121,0.9453867839,false,false,false,false,true,true
2026-06-15T02:25:00Z,2,1,buy,buy,-260,-260,40,40,22407,20386,7.0066689,6.3747022,0.0003127,0.0003127,0.9098049717,false,false,false,false,true,true
2026-06-15T02:30:00Z,1,1,buy,buy,-261,-261,39,39,21876,22827,6.8274996,7.1243067,0.0003121,0.0003121,0.9583388093,false,false,false,false,true,true
2026-06-15T02:35:00Z,1,1,buy,sell,-261,-261,40,40,20591,20328,6.4285102,6.3464016,0.0003122,0.0003122,0.9872274295,true,true,true,true,true,true
2026-06-15T02:40:00Z,2,2,buy+sell,buy+sell,-259,-259,42,42,21749,21295,6.8204864,6.678112,0.0003136,0.0003136,0.979125477,false,false,false,false,true,true
2026-06-15T02:45:00Z,1,1,buy,buy,-259,-259,40,40,17729,20478,5.5474041,6.4075662,0.0003129,0.0003129,0.8657583748,false,false,false,false,true,true
2026-06-15T02:50:00Z,1,1,sell,sell,-258,-258,40,40,21795,18170,6.8109375,5.678125,0.0003125,0.0003125,0.833677449,false,false,false,false,true,true
2026-06-15T02:55:00Z,1,1,sell,sell,-260,-260,40,40,18311,17634,5.7166942,5.5053348,0.0003122,0.0003122,0.9630276883,false,false,false,false,true,true
