symbol,offset_bin_start_ms,offset_bin_end_ms,trades,share_of_all_trades
SUPRAUSDT,-500,-490,12,0.0001381676665
SUPRAUSDT,-490,-480,7,8.059780544e-05
SUPRAUSDT,-480,-470,1,1.151397221e-05
SUPRAUSDT,-470,-460,5,5.756986103e-05
SUPRAUSDT,-460,-450,3,3.454191662e-05
SUPRAUSDT,-450,-440,0,0
SUPRAUSDT,-440,-430,0,0
SUPRAUSDT,-430,-420,1,1.151397221e-05
SUPRAUSDT,-420,-410,2,2.302794441e-05
SUPRAUSDT,-410,-400,8,9.211177764e-05
SUPRAUSDT,-400,-390,1,1.151397221e-05
SUPRAUSDT,-390,-380,1,1.151397221e-05
SUPRAUSDT,-380,-370,3,3.454191662e-05
SUPRAUSDT,-370,-360,1,1.151397221e-05
SUPRAUSDT,-360,-350,2,2.302794441e-05
SUPRAUSDT,-350,-340,1,1.151397221e-05
SUPRAUSDT,-340,-330,0,0
SUPRAUSDT,-330,-320,0,0
SUPRAUSDT,-320,-310,12,0.0001381676665
SUPRAUSDT,-310,-300,0,0
SUPRAUSDT,-300,-290,0,0
SUPRAUSDT,-290,-280,3,3.454191662e-05
SUPRAUSDT,-280,-270,0,0
SUPRAUSDT,-270,-260,993,0.0114333744
SUPRAUSDT,-260,-250,7339,0.08450104201
SUPRAUSDT,-250,-240,150,0.001727095831
SUPRAUSDT,-240,-230,46,0.0005296427214
SUPRAUSDT,-230,-220,29,0.000333905194
SUPRAUSDT,-220,-210,114,0.001312592831
SUPRAUSDT,-210,-200,59,0.0006793243601
SUPRAUSDT,-200,-190,15,0.0001727095831
SUPRAUSDT,-190,-180,2,2.302794441e-05
SUPRAUSDT,-180,-170,13,0.0001496816387
SUPRAUSDT,-170,-160,11,0.0001266536943
SUPRAUSDT,-160,-150,10,0.0001151397221
SUPRAUSDT,-150,-140,8,9.211177764e-05
SUPRAUSDT,-140,-130,3,3.454191662e-05
SUPRAUSDT,-130,-120,6,6.908383323e-05
SUPRAUSDT,-120,-110,16,0.0001842235553
SUPRAUSDT,-110,-100,5,5.756986103e-05
SUPRAUSDT,-100,-90,3,3.454191662e-05
SUPRAUSDT,-90,-80,2,2.302794441e-05
SUPRAUSDT,-80,-70,8,9.211177764e-05
SUPRAUSDT,-70,-60,10,0.0001151397221
SUPRAUSDT,-60,-50,8,9.211177764e-05
SUPRAUSDT,-50,-40,0,0
SUPRAUSDT,-40,-30,2,2.302794441e-05
SUPRAUSDT,-30,-20,16,0.0001842235553
SUPRAUSDT,-20,-10,10,0.0001151397221
SUPRAUSDT,-10,0,1,1.151397221e-05
SUPRAUSDT,0,10,3,3.454191662e-05
SUPRAUSDT,10,20,2,2.302794441e-05
SUPRAUSDT,20,30,1,1.151397221e-05
SUPRAUSDT,30,40,2489,0.02865827682
SUPRAUSDT,40,50,6107,0.07031582826
SUPRAUSDT,50,60,132,0.001519844331
SUPRAUSDT,60,70,67,0.0007714361378
SUPRAUSDT,70,80,45,0.0005181287492
SUPRAUSDT,80,90,76,0.0008750618876
