symbol,date,trades,notional,seconds_59_00_trades,seconds_59_00_share,core_trades,core_trade_share,core_notional,core_notional_share,possible_five_minute_boundaries,core_populated_boundaries,core_both_legs_boundaries,opposite_taker_side_boundaries,balanced_50_boundaries,balanced_70_boundaries,balanced_80_boundaries,balanced_90_boundaries,balanced_95_boundaries,balanced_99_boundaries
SUPRAUSDT,2026-06-15,4572,61618.93197,805,0.176071741,593,0.1297025372,3532.258011,0.05732423295,287,286,260,96,93,92,86,56,29,8
SUPRAUSDT,2026-06-16,2547,34006.16922,666,0.2614840989,576,0.2261484099,3342.524863,0.09829171997,288,267,245,97,92,92,92,58,37,8
SUPRAUSDT,2026-06-17,2893,34137.13212,775,0.2678880055,639,0.2208779813,3830.950469,0.1122223875,288,288,275,115,114,112,108,72,41,10
SUPRAUSDT,2026-06-18,2414,33831.71074,463,0.1917978459,389,0.1611433306,2306.77315,0.06818375718,288,184,160,78,77,76,73,59,27,6
SUPRAUSDT,2026-06-19,3794,48071.91932,721,0.1900369004,561,0.1478650501,3307.42969,0.0688016983,288,261,229,95,93,93,90,63,41,8
SUPRAUSDT,2026-06-20,3482,44426.57725,754,0.2165422171,617,0.1771970132,3611.637524,0.08129452566,288,286,268,106,105,104,102,68,37,6
SUPRAUSDT,2026-06-21,3368,44874.38702,776,0.2304038005,616,0.1828978622,3617.160177,0.08060634178,288,288,272,103,102,101,100,64,37,5
SUPRAUSDT,2026-06-22,5090,72094.51896,788,0.1548133595,613,0.12043222,3624.711257,0.05027720982,288,288,271,126,123,121,118,76,41,8
SUPRAUSDT,2026-06-23,2986,39287.93928,743,0.2488278634,634,0.2123241795,3855.12974,0.09812501777,288,287,277,119,113,112,108,66,33,7
SUPRAUSDT,2026-06-24,2914,48416.20732,832,0.2855181881,603,0.2069320522,3605.090919,0.07446041561,288,288,267,132,130,129,129,87,41,9
SUPRAUSDT,2026-06-25,2478,27603.60692,605,0.2441485069,536,0.2163034705,3247.82931,0.1176595986,288,257,233,119,116,116,113,82,48,11
SUPRAUSDT,2026-06-26,2625,37010.65811,717,0.2731428571,606,0.2308571429,3650.800662,0.09864187368,288,279,254,108,102,101,98,68,31,2
SUPRAUSDT,2026-06-27,2407,36930.58361,372,0.1545492314,308,0.1279601163,2004.082935,0.05426621351,288,154,127,57,54,53,50,35,20,5
SUPRAUSDT,2026-06-28,2302,30159.81117,685,0.2975673328,626,0.2719374457,3676.074955,0.1218865375,288,285,263,103,100,98,96,67,31,8
SUPRAUSDT,2026-06-29,2357,34184.64077,700,0.2969876962,616,0.2613491727,3705.143639,0.1083862096,288,287,282,116,115,112,105,68,41,11
