selection_rank,symbol,ticker_turnover_24h,score_rank
1,KCSUSDT,5014.97044,34
2,OLUSDT,5709.397188,41
3,FIDAUSDT,5864.6345341,33
4,ETHWUSDT,6877.980441,64
5,XAVAUSDT,7170.711254,79
6,CATUSDT,7421.472566265,71
7,USDSUSDT,8231.354829,3
8,SOLVUSDT,8264.3087546,74
9,TAIUSDT,8467.0581504,4
10,INITUSDT,8497.397508,13
11,GMTUSDT,8718.82616671,60
12,GTAIUSDT,8907.3112985,54
13,PAALUSDT,9428.726785,26
14,BOBAUSDT,9528.7719377,49
15,C98USDT,9569.330611,15
16,XTERUSDT,9700.523525,68
17,ACSUSDT,9943.40593128,65
18,DOLOUSDT,10067.548682,72
19,AMZNXUSDT,10339.43742,30
20,NFTUSDT,10476.7814067161,52
21,AVAUSDT,10772.719858,17
22,NAKAUSDT,11820.3635273,11
23,ERAUSDT,12004.18349,62
24,SCAUSDT,12023.1165728,45
25,STREAMUSDT,12320.7973721,39
26,ICXUSDT,12579.0714992,57
27,CGPTUSDT,12692.4874699,23
28,WAXPUSDT,12737.398629,73
29,METHUSDT,12904.7714751,27
30,DOGSUSDT,13504.16686124,5
31,ZKJUSDT,13618.04001049,29
32,USTCUSDT,13717.2576382,69
33,ACHUSDT,13885.5313909,48
34,AIOZUSDT,13924.0768875,31
35,AFCUSDT,14257.48158,51
36,PRCLUSDT,14278.8288316,77
37,MEWUSDT,14358.35995303,38
38,PIRATEUSDT,14653.8916908,75
39,ROSEUSDT,14737.70926189,44
40,MXUSDT,15022.99154,55
41,VERONAUSDT,15602.728132,53
42,NAVXUSDT,16073.9673327,9
43,SAROSUSDT,16099.58003052,50
44,LAUSDT,16956.240071,8
45,JUVUSDT,16963.974116,32
46,ZRXUSDT,17483.2627449,70
47,TELUSDT,17565.945154,58
48,DYMUSDT,18052.2158969,46
49,SSVUSDT,18097.478,22
50,BOMEUSDT,19589.55433506,40
51,KUBUSDT,19628.742942,6
52,ELIZAOSUSDT,20533.50265853,76
53,MCDXUSDT,20555.09348,12
54,RPLUSDT,20853.71196,43
55,SUNUSDT,21190.1769517,36
56,MBXUSDT,21443.2244695,78
57,KAVAUSDT,21465.8970493,16
58,PRIMEUSDT,21525.590914,7
59,L3USDT,21559.8190194,14
60,PYBOBOUSDT,21640.1665005,80
61,KSMUSDT,22432.626012,18
62,SCUSDT,22621.28844293,1
63,ZENTUSDT,22820.9891903,10
64,SUPRAUSDT,22949.4850421,25
65,CITYUSDT,23036.026123,67
66,GUSDT,23183.915646,63
67,METAXUSDT,23212.58914,2
68,HAEDALUSDT,23699.23903,24
69,PORTALUSDT,23866.36141948,56
70,PONKEUSDT,24037.2312826,20
71,MBOXUSDT,24253.51299497,35
72,GRTUSDT,24259.5217527,59
73,LUNAUSDT,25313.022203,61
74,PSGUSDT,25623.655415,47
75,SONICUSDT,25792.559546,42
76,OBTUSDT,26010.77143964,21
77,PUFFERUSDT,26026.401712,37
78,LRCUSDT,26560.2942691,19
79,VETUSDT,26580.812731,28
80,FLOWUSDT,26653.4511294,66
