score_rank,selection_rank,symbol,ticker_turnover_24h,trades,download_bytes,notional_3d,price_min,price_max,price_ratio,top1_size_share,top5_size_share,balanced_recurring_top5_share,max_second,max_second_share,second_rank2,top_two_second_share,top_gap_ms,top_gap_share,benford_l1,anomaly_score,followup_candidate,followup_reason
1,62,SCUSDT,22621.28844293,1203,9647,19167.65,0.0006002,0.0006425,1.0705,0.4089775561097257,0.7456359102244389,0.49044,2,0.12219451371571072,10,0.15793848711554448,80,0.27572,0.65832,8.98275,no,
2,67,METAXUSDT,23212.58914,4269,23354,72468.26,647.71,676.45,1.0444,0.1960646521433591,0.7345982665729679,0.73459,0,0.05036308268915437,2,0.09838369641602249,0,0.59627,1.16744,8.39773,no,
3,7,USDSUSDT,8231.354829,106,1378,32866.54,1.0005,1.0008,1.0003,0.03773584905660377,0.1320754716981132,0,2,0.6037735849056604,37,0.6792452830188679,60000,0.08929,0.39052,7.7614,no,
4,9,TAIUSDT,8467.0581504,1704,15828,36749.58,0.00912,0.00997,1.0932,0.1960093896713615,0.24471830985915494,0.22184,2,0.2857981220657277,32,0.3286384976525822,0,0.16936,0.62471,6.67797,no,
5,30,DOGSUSDT,13504.16686124,2483,22954,50727.05,3.634e-05,3.946e-05,1.0859,0.22956101490132905,0.5086588803866291,0.43174,13,0.03624647603705195,7,0.06766008860249698,0,0.15808,0.38879,5.80944,no,
6,51,KUBUSDT,19628.742942,503,5727,46388.28,0.6995,0.7298,1.0433,0.041749502982107355,0.1709741550695825,0,2,0.3260437375745527,3,0.6083499005964215,480320,0.00714,0.56572,5.77642,no,
7,58,PRIMEUSDT,21525.590914,668,6336,11011.51,0.216,0.2324,1.0759,0.059880239520958084,0.17664670658682635,0,2,0.36826347305389223,25,0.42664670658682635,0,0.11348,0.84327,5.62059,no,
8,44,LAUSDT,16956.240071,1720,15492,59647.03,0.05452,0.06163,1.1304,0.16744186046511628,0.3691860465116279,0.33721,2,0.06802325581395349,28,0.12616279069767442,0,0.19239,0.4725,5.05879,no,
9,42,NAVXUSDT,16073.9673327,1948,16567,26546.03,0.00695,0.00725,1.0432,0.1324435318275154,0.3290554414784394,0.0693,2,0.20174537987679672,19,0.22741273100616016,0,0.08772,0.96365,4.94642,no,
10,63,ZENTUSDT,22820.9891903,5895,57187,72452.38,0.001912,0.001975,1.0329,0.1636980491942324,0.22968617472434266,0.1637,2,0.15657336726039017,45,0.26208651399491095,85720,0.24546,0.41444,4.85229,no,
