phase_seconds_after_five_minute_boundary,possible_anchors,wide_window_hits,wide_window_hit_share,core_populated_boundaries,core_both_legs_boundaries,opposite_taker_side_boundaries,balanced_50_boundaries,balanced_70_boundaries,balanced_80_boundaries,balanced_90_boundaries,balanced_95_boundaries,balanced_99_boundaries,wide_window_overlaps_target_boundary
0,8639,8313,0.9622641509,8292,7932,3455,3394,3371,3273,2156,1160,250,true
1,8640,139,0.01608796296,23,0,0,0,0,0,0,0,0,false
2,8640,498,0.05763888889,49,1,0,0,0,0,0,0,0,false
3,8640,103,0.0119212963,27,0,0,0,0,0,0,0,0,false
4,8640,66,0.007638888889,18,1,0,0,0,0,0,0,0,false
5,8640,68,0.00787037037,14,0,0,0,0,0,0,0,0,false
6,8640,76,0.008796296296,23,0,0,0,0,0,0,0,0,false
7,8640,68,0.00787037037,12,0,0,0,0,0,0,0,0,false
8,8640,62,0.007175925926,10,1,0,0,0,0,0,0,0,false
9,8640,62,0.007175925926,16,0,0,0,0,0,0,0,0,false
10,8640,64,0.007407407407,10,0,0,0,0,0,0,0,0,false
11,8640,62,0.007175925926,17,0,0,0,0,0,0,0,0,false
12,8640,61,0.007060185185,11,0,0,0,0,0,0,0,0,false
13,8640,61,0.007060185185,15,0,0,0,0,0,0,0,0,false
14,8640,67,0.00775462963,12,0,0,0,0,0,0,0,0,false
15,8640,57,0.006597222222,18,1,0,0,0,0,0,0,0,false
16,8640,67,0.00775462963,14,0,0,0,0,0,0,0,0,false
17,8640,74,0.008564814815,18,1,1,0,0,0,0,0,0,false
18,8640,56,0.006481481481,17,2,1,1,0,0,0,0,0,false
19,8640,60,0.006944444444,14,0,0,0,0,0,0,0,0,false
20,8640,58,0.006712962963,17,0,0,0,0,0,0,0,0,false
21,8640,54,0.00625,12,0,0,0,0,0,0,0,0,false
22,8640,59,0.006828703704,10,2,0,0,0,0,0,0,0,false
23,8640,55,0.006365740741,15,0,0,0,0,0,0,0,0,false
24,8640,66,0.007638888889,14,0,0,0,0,0,0,0,0,false
25,8640,56,0.006481481481,14,0,0,0,0,0,0,0,0,false
26,8640,67,0.00775462963,18,1,0,0,0,0,0,0,0,false
27,8640,65,0.007523148148,15,0,0,0,0,0,0,0,0,false
28,8640,68,0.00787037037,15,1,0,0,0,0,0,0,0,false
29,8640,57,0.006597222222,11,0,0,0,0,0,0,0,0,false
30,8640,75,0.008680555556,15,0,0,0,0,0,0,0,0,false
31,8640,65,0.007523148148,19,1,0,0,0,0,0,0,0,false
32,8640,56,0.006481481481,13,1,0,0,0,0,0,0,0,false
33,8640,57,0.006597222222,14,0,0,0,0,0,0,0,0,false
34,8640,76,0.008796296296,22,0,0,0,0,0,0,0,0,false
35,8640,62,0.007175925926,14,2,0,0,0,0,0,0,0,false
36,8640,59,0.006828703704,13,1,1,0,0,0,0,0,0,false
37,8640,59,0.006828703704,11,0,0,0,0,0,0,0,0,false
38,8640,67,0.00775462963,14,2,0,0,0,0,0,0,0,false
39,8640,50,0.005787037037,11,0,0,0,0,0,0,0,0,false
40,8640,47,0.005439814815,12,0,0,0,0,0,0,0,0,false
41,8640,63,0.007291666667,9,2,0,0,0,0,0,0,0,false
42,8640,67,0.00775462963,12,1,0,0,0,0,0,0,0,false
43,8640,80,0.009259259259,12,0,0,0,0,0,0,0,0,false
44,8640,70,0.008101851852,14,0,0,0,0,0,0,0,0,false
45,8640,52,0.006018518519,12,0,0,0,0,0,0,0,0,false
46,8640,74,0.008564814815,10,0,0,0,0,0,0,0,0,false
47,8640,67,0.00775462963,13,2,1,0,0,0,0,0,0,false
48,8640,53,0.006134259259,7,0,0,0,0,0,0,0,0,false
49,8640,57,0.006597222222,16,0,0,0,0,0,0,0,0,false
50,8640,61,0.007060185185,16,1,0,0,0,0,0,0,0,false
51,8640,64,0.007407407407,11,1,1,0,0,0,0,0,0,false
52,8640,60,0.006944444444,9,0,0,0,0,0,0,0,0,false
53,8640,53,0.006134259259,7,0,0,0,0,0,0,0,0,false
54,8640,57,0.006597222222,18,1,0,0,0,0,0,0,0,false
55,8640,53,0.006134259259,13,1,0,0,0,0,0,0,0,false
56,8640,65,0.007523148148,9,1,0,0,0,0,0,0,0,false
57,8640,58,0.006712962963,10,0,0,0,0,0,0,0,0,false
58,8640,67,0.00775462963,17,0,0,0,0,0,0,0,0,false
59,8640,62,0.007175925926,21,0,0,0,0,0,0,0,0,false
60,8640,62,0.007175925926,14,0,0,0,0,0,0,0,0,false
61,8640,85,0.009837962963,21,1,1,1,1,1,1,1,1,false
62,8640,450,0.05208333333,27,0,0,0,0,0,0,0,0,false
63,8640,74,0.008564814815,15,1,0,0,0,0,0,0,0,false
64,8640,70,0.008101851852,22,0,0,0,0,0,0,0,0,false
65,8640,51,0.005902777778,11,0,0,0,0,0,0,0,0,false
66,8640,58,0.006712962963,14,1,0,0,0,0,0,0,0,false
67,8640,63,0.007291666667,10,0,0,0,0,0,0,0,0,false
68,8640,66,0.007638888889,9,0,0,0,0,0,0,0,0,false
69,8640,71,0.008217592593,18,2,1,0,0,0,0,0,0,false
70,8640,61,0.007060185185,15,0,0,0,0,0,0,0,0,false
71,8640,69,0.007986111111,19,1,1,0,0,0,0,0,0,false
72,8640,74,0.008564814815,11,1,0,0,0,0,0,0,0,false
73,8640,51,0.005902777778,10,1,0,0,0,0,0,0,0,false
74,8640,61,0.007060185185,11,0,0,0,0,0,0,0,0,false
75,8640,65,0.007523148148,12,0,0,0,0,0,0,0,0,false
76,8640,71,0.008217592593,16,0,0,0,0,0,0,0,0,false
77,8640,56,0.006481481481,13,1,0,0,0,0,0,0,0,false
78,8640,79,0.009143518519,10,0,0,0,0,0,0,0,0,false
79,8640,57,0.006597222222,22,2,1,0,0,0,0,0,0,false
80,8640,68,0.00787037037,12,0,0,0,0,0,0,0,0,false
81,8640,62,0.007175925926,10,1,1,1,0,0,0,0,0,false
82,8640,79,0.009143518519,14,1,0,0,0,0,0,0,0,false
83,8640,60,0.006944444444,16,2,0,0,0,0,0,0,0,false
84,8640,69,0.007986111111,16,1,0,0,0,0,0,0,0,false
85,8640,66,0.007638888889,13,0,0,0,0,0,0,0,0,false
86,8640,82,0.009490740741,15,0,0,0,0,0,0,0,0,false
87,8640,59,0.006828703704,10,0,0,0,0,0,0,0,0,false
88,8640,74,0.008564814815,14,1,0,0,0,0,0,0,0,false
89,8640,66,0.007638888889,14,1,0,0,0,0,0,0,0,false
90,8640,54,0.00625,9,0,0,0,0,0,0,0,0,false
