symbol,second,trades,trade_share,buy_trades,sell_trades,notional,notional_share
SUPRAUSDT,0,10681,0.1229807371,6160,4521,74345.24747,0.06468582215
SUPRAUSDT,1,1186,0.01365557104,685,501,19616.91908,0.01706815946
SUPRAUSDT,2,4130,0.04755270521,2223,1907,39915.60263,0.03472950404
SUPRAUSDT,3,1219,0.01403553212,673,546,15069.89677,0.01311191631
SUPRAUSDT,4,937,0.01078859196,648,289,12766.24249,0.01110756799
SUPRAUSDT,5,985,0.01134126262,580,405,17095.75946,0.01487456554
SUPRAUSDT,6,875,0.01007472568,515,360,11769.4853,0.01024031607
SUPRAUSDT,7,1096,0.01261931354,625,471,16091.2895,0.01400060294
SUPRAUSDT,8,1097,0.01263082751,544,553,15992.41883,0.01391457821
SUPRAUSDT,9,1121,0.01290716284,643,478,18076.93992,0.01572826456
SUPRAUSDT,10,1104,0.01271142531,633,471,17646.79155,0.0153540039
SUPRAUSDT,11,1387,0.01596987945,629,758,22463.89418,0.01954523676
SUPRAUSDT,12,992,0.01142186043,560,432,15562.09872,0.01354016812
SUPRAUSDT,13,927,0.01067345223,529,398,14797.80071,0.01287517275
SUPRAUSDT,14,1017,0.01170970973,447,570,15522.53693,0.01350574647
SUPRAUSDT,15,937,0.01078859196,487,450,13093.41427,0.01139223145
SUPRAUSDT,16,1100,0.01266536943,626,474,16546.95901,0.01439706886
SUPRAUSDT,17,1048,0.01206664287,567,481,13425.37162,0.01168105871
SUPRAUSDT,18,1066,0.01227389437,581,485,13700.06146,0.01192005904
SUPRAUSDT,19,1083,0.0124696319,524,559,15347.08913,0.013353094
SUPRAUSDT,20,1201,0.01382828062,609,592,18935.5669,0.01647533305
SUPRAUSDT,21,1020,0.01174425165,531,489,16394.55381,0.01426446515
SUPRAUSDT,22,913,0.01051225662,452,461,15865.42551,0.0138040847
SUPRAUSDT,23,898,0.01033954704,485,413,12234.22392,0.01064467279
SUPRAUSDT,24,1085,0.01249265984,610,475,19929.69588,0.01734029823
SUPRAUSDT,25,1106,0.01273445326,615,491,17728.3751,0.01542498758
SUPRAUSDT,26,1083,0.0124696319,530,553,17557.68106,0.01527647123
SUPRAUSDT,27,1057,0.01217026862,621,436,15415.42243,0.01341254899
SUPRAUSDT,28,1259,0.01449609101,593,666,20531.75051,0.01786412995
SUPRAUSDT,29,826,0.009510541042,523,303,12267.28385,0.01067343735
SUPRAUSDT,30,1154,0.01328712392,619,535,15222.68043,0.0132448493
SUPRAUSDT,31,1187,0.01366708501,541,646,18749.0924,0.01631308655
SUPRAUSDT,32,1121,0.01290716284,585,536,21386.03998,0.01860742449
SUPRAUSDT,33,937,0.01078859196,575,362,13085.65077,0.01138547664
SUPRAUSDT,34,1068,0.01229692232,612,456,15981.69997,0.01390525201
SUPRAUSDT,35,1285,0.01479545428,806,479,19285.89385,0.01678014321
SUPRAUSDT,36,858,0.009878988152,462,396,12802.02623,0.01113870247
SUPRAUSDT,37,1068,0.01229692232,580,488,17653.6532,0.01535997404
SUPRAUSDT,38,1125,0.01295321873,530,595,19237.39515,0.01673794578
SUPRAUSDT,39,1151,0.01325258201,625,526,20629.2982,0.0179490036
SUPRAUSDT,40,1180,0.0135864872,578,602,19510.73348,0.01697577019
SUPRAUSDT,41,1082,0.01245811793,638,444,15518.37898,0.01350212874
SUPRAUSDT,42,1151,0.01325258201,672,479,19069.95607,0.01659226149
SUPRAUSDT,43,1231,0.01417369978,640,591,16387.98176,0.01425874699
SUPRAUSDT,44,1376,0.01584322575,761,615,18884.20183,0.01643064167
SUPRAUSDT,45,1115,0.01283807901,599,516,16309.81088,0.01419073259
SUPRAUSDT,46,1043,0.01200907301,484,559,16551.42573,0.01440095524
SUPRAUSDT,47,1065,0.0122623804,540,525,20666.69838,0.0179815445
SUPRAUSDT,48,1116,0.01284959298,594,522,16503.73658,0.01435946218
SUPRAUSDT,49,1268,0.01459971676,699,569,20910.22887,0.0181934339
SUPRAUSDT,50,1051,0.01210118479,530,521,15498.10411,0.01348448812
SUPRAUSDT,51,1041,0.01198604507,524,517,17452.18427,0.01518468128
SUPRAUSDT,52,1137,0.0130913864,622,515,20877.76296,0.01816518618
SUPRAUSDT,53,1264,0.01455366087,632,632,18411.74725,0.01601957151
SUPRAUSDT,54,966,0.01112249715,532,434,13999.73675,0.01218079853
SUPRAUSDT,55,925,0.01065042429,622,303,16478.08813,0.01433714615
SUPRAUSDT,56,1075,0.01237752012,621,454,14861.14643,0.01293028819
SUPRAUSDT,57,1094,0.01259628559,599,495,18689.45038,0.01626119361
SUPRAUSDT,58,1351,0.01555537645,686,665,23094.6205,0.02009401495
SUPRAUSDT,59,9930,0.114333744,5623,4307,69913.10115,0.06082952954
CITYUSDT,0,1438,0.01809282955,781,657,21349.91672,0.01815862579
CITYUSDT,1,1676,0.02108733124,839,837,21549.48018,0.01832835939
CITYUSDT,2,2095,0.02635916406,1065,1030,25250.97202,0.02147656863
CITYUSDT,3,1115,0.01402886297,511,604,16810.70012,0.01429791117
CITYUSDT,4,1333,0.01677172586,679,654,19502.61371,0.01658744944
CITYUSDT,5,1425,0.01792926433,709,716,20619.11124,0.01753705787
CITYUSDT,6,1222,0.01537513054,508,714,18249.01148,0.01552123012
CITYUSDT,7,1286,0.01618037469,655,631,21254.79985,0.01807772656
CITYUSDT,8,1230,0.01547578606,642,588,18564.33906,0.01578942393
CITYUSDT,9,1216,0.0152996389,579,637,18387.67124,0.01563916363
CITYUSDT,10,1410,0.01774053524,787,623,19318.65571,0.01643098867
CITYUSDT,11,1225,0.01541287636,707,518,18150.22328,0.01543720835
CITYUSDT,12,1361,0.01712402018,809,552,21494.87467,0.01828191607
CITYUSDT,13,1378,0.01733791316,687,691,24134.66307,0.0205271206
CITYUSDT,14,1511,0.01901131116,688,823,22117.26409,0.01881127347
CITYUSDT,15,1337,0.01682205362,739,598,19937.61862,0.01695743175
CITYUSDT,16,1395,0.01755180614,742,653,21443.48116,0.01823820463
CITYUSDT,17,1446,0.01819348507,693,753,20984.89359,0.01784816469
CITYUSDT,18,1255,0.01579033455,651,604,18799.0883,0.0159890839
CITYUSDT,19,1201,0.0151109098,611,590,17325.65059,0.01473588912
CITYUSDT,20,1166,0.0146705419,586,580,18590.93051,0.01581204061
CITYUSDT,21,1169,0.01470828772,485,684,16861.52468,0.0143411387
CITYUSDT,22,1236,0.0155512777,607,629,18920.61112,0.01609244202
CITYUSDT,23,1317,0.01657041483,665,652,17941.0223,0.01525927779
CITYUSDT,24,1352,0.01701078272,808,544,20008.34953,0.01701759012
CITYUSDT,25,1472,0.01852061551,734,738,20424.14523,0.01737123452
CITYUSDT,26,1437,0.01808024761,638,799,21255.51775,0.01807833716
CITYUSDT,27,1350,0.01698561884,665,685,19177.89139,0.01631126517
CITYUSDT,28,1441,0.01813057537,698,743,22032.36737,0.01873906674
CITYUSDT,29,1446,0.01819348507,687,759,20239.63431,0.01721430347
CITYUSDT,30,1173,0.01475861548,566,607,18271.63489,0.01554047188
CITYUSDT,31,1450,0.01824381283,758,692,24110.49473,0.02050656483
CITYUSDT,32,1437,0.01808024761,643,794,19136.3977,0.01627597378
CITYUSDT,33,1272,0.01600422753,689,583,19961.18595,0.01697747634
CITYUSDT,34,1199,0.01508574592,662,537,20043.53607,0.01704751712
CITYUSDT,35,1293,0.01626844827,645,648,22433.58551,0.01908031257
CITYUSDT,36,1379,0.0173504951,564,815,19128.49348,0.01626925105
CITYUSDT,37,1313,0.01652008707,679,634,20832.01553,0.01771813817
CITYUSDT,38,1280,0.01610488305,644,636,18741.18152,0.01593983277
CITYUSDT,39,1199,0.01508574592,718,481,18200.97708,0.01548037569
CITYUSDT,40,1321,0.01662074259,573,748,21102.28315,0.01794800739
CITYUSDT,41,1364,0.017161766,615,749,19660.78413,0.01672197725
CITYUSDT,42,1279,0.01609230111,630,649,18607.89901,0.01582647273
CITYUSDT,43,1353,0.01702336466,663,690,19440.82277,0.01653489474
CITYUSDT,44,1385,0.01742598674,481,904,20192.79358,0.01717446429
CITYUSDT,45,1324,0.01665848841,642,682,17047.12577,0.01449899696
CITYUSDT,46,1379,0.0173504951,599,780,21766.14341,0.01851263676
CITYUSDT,47,1212,0.01524931114,617,595,17207.29069,0.01463522114
CITYUSDT,48,1313,0.01652008707,564,749,18737.17713,0.01593642693
CITYUSDT,49,1143,0.01438115729,557,586,17003.65919,0.01446202757
CITYUSDT,50,1128,0.01419242819,548,580,16091.71316,0.0136863952
CITYUSDT,51,1205,0.01516123756,541,664,17604.3647,0.01497294228
CITYUSDT,52,1201,0.0151109098,644,557,16830.57111,0.01431481193
CITYUSDT,53,1347,0.01694787302,692,655,17767.27647,0.01511150272
CITYUSDT,54,1221,0.0153625486,500,721,19383.88491,0.0164864677
CITYUSDT,55,1069,0.01345009374,505,564,16303.37094,0.01386641531
CITYUSDT,56,1453,0.01828155865,662,791,21704.62334,0.01846031243
CITYUSDT,57,1418,0.01784119075,616,802,22414.77539,0.01906431411
CITYUSDT,58,1168,0.01469570578,568,600,18170.89407,0.01545478935
CITYUSDT,59,1260,0.01585324425,537,723,17151.20037,0.01458751495
PYBOBOUSDT,0,1090,0.01633154535,523,567,10714.45779,0.01973448728
PYBOBOUSDT,1,1123,0.01682598664,572,551,8019.030182,0.01476989804
PYBOBOUSDT,2,1166,0.01747025861,569,597,9797.578278,0.01804572734
PYBOBOUSDT,3,1089,0.01631656228,544,545,8750.541358,0.01611723621
PYBOBOUSDT,4,1168,0.01750022475,602,566,10764.26248,0.01982622034
PYBOBOUSDT,5,1077,0.01613676546,531,546,8382.513397,0.01543938174
PYBOBOUSDT,6,1066,0.01597195169,532,534,8493.440119,0.01564369278
PYBOBOUSDT,7,1146,0.01717059723,573,573,9573.817309,0.01763359188
PYBOBOUSDT,8,1118,0.01675107129,552,566,8552.631391,0.01575271457
PYBOBOUSDT,9,1131,0.01694585119,598,533,11295.09857,0.02080394393
PYBOBOUSDT,10,1079,0.01616673159,524,555,8419.485102,0.01550747829
PYBOBOUSDT,11,1173,0.01757514009,591,582,10092.90078,0.01858966883
PYBOBOUSDT,12,1059,0.01586707021,547,512,8789.024638,0.01618811687
PYBOBOUSDT,13,1095,0.0164064607,565,530,8681.887139,0.01599078503
PYBOBOUSDT,14,1071,0.01604686704,509,562,7785.919908,0.0143405425
PYBOBOUSDT,15,1081,0.01619669773,535,546,8315.319438,0.01531562015
PYBOBOUSDT,16,1139,0.01706571574,583,556,8650.574628,0.0159331119
PYBOBOUSDT,17,1219,0.01826436127,595,624,10530.53202,0.0193957225
PYBOBOUSDT,18,1057,0.01583710407,532,525,8888.626699,0.01637156951
PYBOBOUSDT,19,1034,0.01549249348,497,537,7526.010002,0.01386182591
PYBOBOUSDT,20,1097,0.01643642684,555,542,8970.181642,0.01652178196
PYBOBOUSDT,21,1136,0.01702076653,540,596,8830.132866,0.0162638323
PYBOBOUSDT,22,1145,0.01715561416,561,584,8745.736116,0.01610838565
PYBOBOUSDT,23,1122,0.01681100357,547,575,8806.365131,0.01622005556
PYBOBOUSDT,24,1121,0.0167960205,570,551,9013.34277,0.01660127854
PYBOBOUSDT,25,1108,0.0166012406,543,565,10418.30077,0.01918900872
PYBOBOUSDT,26,1145,0.01715561416,601,544,9316.787045,0.01716017917
PYBOBOUSDT,27,1122,0.01681100357,588,534,9231.163425,0.0170024728
PYBOBOUSDT,28,1172,0.01756015702,579,593,9508.249839,0.01751282605
PYBOBOUSDT,29,1112,0.01666117287,555,557,9360.989577,0.01724159386
PYBOBOUSDT,30,1103,0.01652632525,551,552,8594.400664,0.01582964755
PYBOBOUSDT,31,1097,0.01643642684,579,518,9127.227643,0.01681103807
PYBOBOUSDT,32,1081,0.01619669773,560,521,9051.523411,0.01667160178
PYBOBOUSDT,33,1159,0.01736537712,571,588,8376.834377,0.0154289218
PYBOBOUSDT,34,1050,0.01573222259,504,546,8973.635974,0.01652814435
PYBOBOUSDT,35,1083,0.01622666387,548,535,8044.786895,0.01481733819
