test,parameter,possible_anchors,core_populated_boundaries,core_both_legs_boundaries,opposite_taker_side_boundaries,balanced_50_boundaries,balanced_70_boundaries,balanced_80_boundaries,balanced_90_boundaries,balanced_95_boundaries,balanced_99_boundaries,matching_boundaries,wide_window_hits
peak_window_width,20ms_each_leg,8639,8174,7597,3317,3277,3261,3168,2081,1124,249,,
peak_window_width,50ms_each_leg,8639,8192,7785,3400,3352,3333,3237,2126,1149,251,,
peak_window_width,100ms_each_leg,8639,8278,7863,3424,3367,3344,3248,2138,1152,252,,
peak_window_width,150ms_each_leg,8639,8292,7936,3450,3386,3363,3265,2152,1160,250,,
peak_window_width,200ms_each_leg,8639,8294,7936,3448,3379,3355,3257,2145,1157,248,,
balance_threshold,min_max_ratio_gte_0.50,8639,,7932,3455,,,,,,,3394,
balance_threshold,min_max_ratio_gte_0.70,8639,,7932,3455,,,,,,,3371,
balance_threshold,min_max_ratio_gte_0.80,8639,,7932,3455,,,,,,,3273,
balance_threshold,min_max_ratio_gte_0.90,8639,,7932,3455,,,,,,,2156,
balance_threshold,min_max_ratio_gte_0.95,8639,,7932,3455,,,,,,,1160,
balance_threshold,min_max_ratio_gte_0.99,8639,,7932,3455,,,,,,,250,
utc_boundary_cadence,1min,43199,8342,7933,3455,3394,3371,3273,2156,1160,250,,8524
utc_boundary_cadence,5min,8639,8292,7932,3455,3394,3371,3273,2156,1160,250,,8313
utc_boundary_cadence,10min,4319,4140,3954,1711,1675,1666,1613,1055,557,117,,4151
utc_boundary_cadence,15min,2879,2763,2647,1152,1130,1119,1079,726,397,79,,2770
utc_boundary_cadence,30min,1439,1378,1321,568,557,551,524,344,195,35,,1380
utc_boundary_cadence,60min,719,689,657,275,271,267,253,164,95,17,,691
